submission_date,state,tot_cases,new_case,tot_death,created_at
2020-04-08T00:00:00.000,AZ,2726,151.0,80,2020-04-07T16:22:39.452
2021-06-26T00:00:00.000,AZ,892711,475.0,17914,2021-06-28T13:23:06.921
2020-03-13T00:00:00.000,AZ,10,1.0,0,2020-03-26T16:22:39.452
2021-02-23T00:00:00.000,AZ,811283,1298.0,15650,2021-02-24T14:56:12.713
2021-01-12T00:00:00.000,AZ,636488,8562.0,10482,2021-01-13T14:44:58.633
2021-04-01T00:00:00.000,AZ,842817,381.0,16977,2021-04-02T13:56:15.510
2021-09-09T00:00:00.000,AZ,1039492,2480.0,19141,2021-09-10T14:35:13.034
2020-08-26T00:00:00.000,AZ,199537,187.0,4896,2020-08-27T13:42:08.515
2021-08-28T00:00:00.000,AZ,1005764,3893.0,18779,2021-08-30T12:49:04.183
2020-02-07T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-08-20T00:00:00.000,AZ,196352,724.0,4684,2020-08-21T14:27:34.675
2020-05-17T00:00:00.000,AZ,13937,306.0,680,2020-05-18T16:01:54.000
2020-05-31T00:00:00.000,AZ,19936,681.0,906,2020-06-01T14:17:42.906
2021-07-08T00:00:00.000,AZ,898908,625.0,18003,2021-07-09T13:56:56.578
2020-11-18T00:00:00.000,AZ,283325,3209.0,6365,2020-11-19T15:01:36.742
2020-10-15T00:00:00.000,AZ,228876,1114.0,5789,2020-10-16T13:33:55.808
2021-06-25T00:00:00.000,AZ,892236,587.0,17903,2021-06-26T14:17:39.224
2020-09-04T00:00:00.000,AZ,204768,729.0,5171,2020-09-05T14:09:45.109
2020-09-06T00:00:00.000,AZ,205855,251.0,5221,2020-09-07T13:37:36.613
2020-07-17T00:00:00.000,AZ,138523,3873.0,2583,2020-07-18T16:14:26.601
2020-06-07T00:00:00.000,AZ,26889,1438.0,1044,2020-06-08T14:55:08.000
2020-08-02T00:00:00.000,AZ,178521,1446.0,3765,2020-08-03T14:31:01.928
2021-09-20T00:00:00.000,AZ,1068823,2020.0,19513,2021-09-21T14:33:33.676
2021-03-16T00:00:00.000,AZ,834503,497.0,16574,2021-03-17T14:24:24.658
2021-05-17T00:00:00.000,AZ,873446,468.0,17466,2021-05-18T14:26:44.043
2021-06-19T00:00:00.000,AZ,889263,463.0,17831,2021-06-18T13:48:26.536
2020-06-25T00:00:00.000,AZ,63046,4844.0,1490,2020-06-26T19:18:27.809
2021-03-08T00:00:00.000,AZ,827862,783.0,16328,2021-03-09T14:47:41.991
2021-02-28T00:00:00.000,AZ,817407,1075.0,15980,2021-03-01T15:21:38.478
2020-06-13T00:00:00.000,AZ,34462,1541.0,1183,2020-06-14T14:19:43.716
2020-10-18T00:00:00.000,AZ,231280,743.0,5827,2020-10-19T14:06:44.391
2021-06-08T00:00:00.000,AZ,884609,414.0,17713,2021-06-09T14:26:44.647
2020-04-20T00:00:00.000,AZ,5064,135.0,187,2020-04-20T16:22:39.452
2021-09-27T00:00:00.000,AZ,1086328,1959.0,19812,2021-09-28T14:30:08.010
2020-10-19T00:00:00.000,AZ,232029,749.0,5830,2020-10-20T14:59:27.967
2020-11-21T00:00:00.000,AZ,295566,3641.0,6457,2020-11-22T15:02:23.399
2020-12-22T00:00:00.000,AZ,467540,5873.0,8125,2020-12-23T14:36:58.341
2020-02-15T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-05-02T00:00:00.000,AZ,8364,402.0,348,2020-05-03T15:36:03.076
2021-07-02T00:00:00.000,AZ,895873,526.0,17961,2021-07-03T13:44:06.775
2021-01-06T00:00:00.000,AZ,575050,7209.0,9444,2021-01-07T14:56:59.705
2021-08-24T00:00:00.000,AZ,991309,2595.0,18638,2021-08-25T13:58:33.527
2020-07-30T00:00:00.000,AZ,170849,2526.0,3626,2020-07-31T14:35:06.518
2021-07-28T00:00:00.000,AZ,921445,1361.0,18185,2021-07-29T13:49:46.674
2021-05-22T00:00:00.000,AZ,876411,645.0,17547,2021-05-23T13:37:59.772
2021-06-05T00:00:00.000,AZ,883314,277.0,17698,2021-06-06T13:36:52.304
2021-04-28T00:00:00.000,AZ,860772,603.0,17282,2021-04-29T13:47:03.356
2020-04-30T00:00:00.000,AZ,7648,446.0,320,2020-05-01T21:00:19.025
2021-07-30T00:00:00.000,AZ,925169,1965.0,18224,2021-07-31T13:56:41.471
2021-01-20T00:00:00.000,AZ,690956,4848.0,11528,2021-01-21T14:44:32.423
2021-01-02T00:00:00.000,AZ,539508,8886.0,9061,2021-01-03T14:53:25.031
2021-06-23T00:00:00.000,AZ,891023,490.0,17868,2021-06-24T15:16:23.268
2020-06-09T00:00:00.000,AZ,28296,618.0,1070,2020-06-10T20:56:25.490
2020-03-14T00:00:00.000,AZ,12,2.0,0,2020-03-26T16:22:39.452
2020-08-03T00:00:00.000,AZ,179552,1031.0,3779,2020-08-04T14:09:35.859
2020-04-10T00:00:00.000,AZ,3112,94.0,97,2020-04-09T16:22:39.452
2021-09-26T00:00:00.000,AZ,1084369,2579.0,19812,2021-09-27T14:29:10.948
2021-08-27T00:00:00.000,AZ,1001871,3707.0,18724,2021-08-28T13:53:26.280
2021-08-01T00:00:00.000,AZ,929541,2306.0,18251,2021-08-02T14:03:57.634
2021-02-06T00:00:00.000,AZ,779556,3474.0,14011,2021-02-07T14:46:31.377
2020-08-16T00:00:00.000,AZ,193605,951.0,4506,2020-08-17T14:26:31.025
2021-05-08T00:00:00.000,AZ,868382,939.0,17407,2021-05-09T13:43:24.481
2021-03-31T00:00:00.000,AZ,842436,733.0,16967,2021-04-01T14:13:30.582
2020-09-09T00:00:00.000,AZ,206633,497.0,5251,2020-09-10T14:02:53.721
2020-10-03T00:00:00.000,AZ,220515,637.0,5705,2020-10-04T13:35:23.162
2020-02-16T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-04-24T00:00:00.000,AZ,6045,276.0,266,2020-05-25T15:38:40.000
2021-08-23T00:00:00.000,AZ,988714,2632.0,18600,2021-08-24T14:24:26.650
2021-01-18T00:00:00.000,AZ,679688,5403.0,11265,2021-01-19T14:37:00.036
2020-10-20T00:00:00.000,AZ,233070,1041.0,5837,2020-10-21T13:34:31.370
2020-02-21T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-09-29T00:00:00.000,AZ,218296,675.0,5632,2020-09-30T14:17:41.349
2020-10-25T00:00:00.000,AZ,238301,1392.0,5874,2020-10-26T13:41:41.106
2020-03-17T00:00:00.000,AZ,18,0.0,0,2020-03-26T16:22:39.452
2021-05-27T00:00:00.000,AZ,879102,764.0,17594,2021-05-28T13:29:21.497
2020-06-16T00:00:00.000,AZ,39104,2393.0,1219,2020-06-17T15:06:04.858
2021-05-01T00:00:00.000,AZ,863571,1074.0,17338,2021-05-02T14:13:07.137
2020-12-23T00:00:00.000,AZ,473601,6061.0,8179,2020-12-24T14:31:20.111
2021-02-08T00:00:00.000,AZ,783356,2253.0,14055,2021-02-09T15:24:29.092
2020-02-01T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-06-02T00:00:00.000,AZ,21250,1127.0,941,2020-06-03T14:11:36.638
2020-05-19T00:00:00.000,AZ,14566,396.0,704,2020-05-20T15:28:26.000
2021-07-27T00:00:00.000,AZ,920084,1475.0,18183,2021-07-28T13:51:39.509
2020-11-03T00:00:00.000,AZ,249996,1682.0,6020,2020-11-04T15:03:00.406
2020-06-10T00:00:00.000,AZ,29853,1557.0,1095,2020-06-11T14:48:51.509
2020-01-29T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2020-02-14T00:00:00.000,AZ,1,0.0,0,2020-03-26T16:22:39.452
2021-04-07T00:00:00.000,AZ,846855,750.0,17023,2021-04-08T13:46:50.786
2020-12-17T00:00:00.000,AZ,435346,5820.0,7677,2020-12-18T14:45:01.331
2021-03-12T00:00:00.000,AZ,832457,1367.0,16519,2021-03-13T15:19:19.967
2021-06-28T00:00:00.000,AZ,893560,413.0,17913,2021-06-29T14:25:53.077
2020-05-27T00:00:00.000,AZ,17262,479.0,831,2020-05-28T15:12:25.989
2021-03-06T00:00:00.000,AZ,825744,1735.0,16323,2021-03-07T14:51:40.614
2020-11-08T00:00:00.000,AZ,259457,1928.0,6164,2020-11-09T14:38:54.660
2020-12-21T00:00:00.000,AZ,461667,7751.0,7972,2020-12-22T14:35:48.855
2021-02-24T00:00:00.000,AZ,812593,1310.0,15693,2021-02-25T14:54:32.778
2021-05-04T00:00:00.000,AZ,865280,701.0,17355,2021-05-05T14:14:20.639
2020-11-29T00:00:00.000,AZ,326251,3224.0,6634,2020-11-30T14:51:40.262
2020-04-03T00:00:00.000,AZ,1769,171.0,41,2020-04-03T16:22:39.452
2021-01-09T00:00:00.000,AZ,607724,11097.0,10036,2021-01-10T16:10:55.461
2021-09-21T00:00:00.000,AZ,1070757,1934.0,19584,2021-09-22T14:04:47.662
2021-02-14T00:00:00.000,AZ,797757,1950.0,14978,2021-02-15T14:46:24.739
2020-01-26T00:00:00.000,AZ,1,1.0,0,2020-03-26T16:22:39.452
2020-10-23T00:00:00.000,AZ,236018,977.0,5865,2020-10-24T13:26:44.189
2021-01-29T00:00:00.000,AZ,748699,5031.0,13022,2021-01-30T14:43:11.492
2021-02-12T00:00:00.000,AZ,794013,2429.0,14834,2021-02-13T14:50:08.565
2021-09-11T00:00:00.000,AZ,1045835,3355.0,19183,2021-09-13T12:52:39.088
2020-06-28T00:00:00.000,AZ,73927,3858.0,1588,2020-06-29T14:37:31.240
2021-01-03T00:00:00.000,AZ,556745,17237.0,9061,2021-01-04T14:55:45.964
2021-05-30T00:00:00.000,AZ,881089,623.0,17628,2021-05-31T13:43:43.522
2020-08-21T00:00:00.000,AZ,196972,620.0,4688,2020-08-22T14:21:09.869
2021-05-13T00:00:00.000,AZ,871168,544.0,17438,2021-05-14T14:07:22.113
2021-08-21T00:00:00.000,AZ,982775,3195.0,18597,2021-08-23T12:48:27.632
2020-03-08T00:00:00.000,AZ,5,0.0,0,2020-03-26T16:22:39.452
2021-03-21T00:00:00.000,AZ,836878,488.0,16745,2021-03-22T13:57:09.215
2020-03-10T00:00:00.000,AZ,8,2.0,0,2020-03-26T16:22:39.452
2020-09-15T00:00:00.000,AZ,209307,485.0,5344,2020-09-16T13:53:41.027
